t_ms,host_time_iso,true_distance_cm,measured_dist_cm,t_rel_ms_global,t_rel_ms_truth,dist_ema_cm,dist_lp_cm,dist_median_cm,dist_outlier_cm,dist_kalman_cm,measured_dist_cm_cal,dist_ema_cm_cal,dist_lp_cm_cal,dist_median_cm_cal,dist_outlier_cm_cal,dist_kalman_cm_cal
611963,2025-09-21T11:48:35.610,10.0,10.839,9100,9100.0,10.866442821637195,10.864667585269864,10.839,10.873000000000001,10.864182787643301,8.938993921606592,8.969974211123645,8.967970141084923,8.938993921606592,8.977376630844923,8.967422851486692
612063,2025-09-21T11:48:35.710,10.0,10.839,9200,9200.0,10.860954257309755,10.858250688952397,10.839,10.8645,10.863080904902793,8.938993921606592,8.963778153220233,8.960726086215338,8.938993921606592,8.967780953535339,8.966178932520702
612163,2025-09-21T11:48:35.810,10.0,10.856,9300,9300.0,10.859963405847806,10.857688016714299,10.856,10.856,10.862771090981854,8.958185276225755,8.962659577821341,8.960090883717946,8.958185276225755,8.958185276225755,8.965829182589957
612263,2025-09-21T11:48:35.910,10.0,10.856,9400,9400.0,10.859170724678245,10.857266012535725,10.856,10.856,10.862474844592837,8.958185276225755,8.961764717502223,8.959614481844898,8.958185276225755,8.958185276225755,8.965494749089586
612363,2025-09-21T11:48:36.010,10.0,10.856,9500,9500.0,10.858536579742598,10.856949509401794,10.856,10.856,10.862191570059107,8.958185276225755,8.961048829246934,8.959257180440112,8.958185276225755,8.958185276225755,8.965174959558329
612463,2025-09-21T11:48:36.110,10.0,10.839,9600,9600.0,10.854629263794079,10.852462132051345,10.856,10.987333333333334,10.86117697324937,8.938993921606592,8.956637847718866,8.954191365731734,8.958185276225755,9.106447898185575,8.964029577960027
612563,2025-09-21T11:48:36.210,10.0,10.839,9700,9700.0,10.851503411035264,10.849096599038509,10.856,11.118666666666666,10.86020679386793,8.938993921606592,8.953109062496413,8.950392004700447,8.958185276225755,9.254710520145391,8.962934339339238
612663,2025-09-21T11:48:36.310,10.0,11.25,9800,9800.0,10.931202728828211,10.949322449278881,11.25,11.25,10.877258648490102,9.40297314210521,9.043081878418171,9.063537289051638,9.40297314210521,9.40297314210521,8.982184232807974
612763,2025-09-21T11:48:36.410,10.0,11.25,9900,9900.0,10.994962183062569,11.024491836959161,11.25,11.25,10.8935641282415,9.40297314210521,9.11506013115558,9.148396252315031,9.40297314210521,9.40297314210521,9.000591541287076
612863,2025-09-21T11:48:36.510,10.0,11.25,10000,10000.0,11.045969746450055,11.080868877719372,11.25,11.25,10.90915595611761,9.40297314210521,9.172642733345505,9.212040474762578,9.40297314210521,9.40297314210521,9.018193205871274
612963,2025-09-21T11:48:36.609,10.0,11.25,10100,10100.0,11.086775797160044,11.12315165828953,11.25,11.25,10.924065413738749,9.40297314210521,9.218708815097447,9.259773641598237,9.40297314210521,9.40297314210521,9.035024540482254
613063,2025-09-21T11:48:36.710,10.0,11.25,10200,10200.0,11.119420637728036,11.154863743717147,11.25,11.25,10.938322405681092,9.40297314210521,9.255561680499,9.295573516724982,9.40297314210521,9.40297314210521,9.05111930449214
613163,2025-09-21T11:48:36.810,10.0,11.25,10300,10300.0,11.14553651018243,11.178647807787861,11.25,11.25,10.951955520831428,9.40297314210521,9.285043972820244,9.322423423070038,9.40297314210521,9.40297314210521,9.066509771987082
613263,2025-09-21T11:48:36.910,10.0,11.233,10400,10400.0,11.163029208145945,11.192235855840895,11.25,11.25,10.96424850495202,9.383781787486047,9.304791535753406,9.33776301417404,9.40297314210521,9.40297314210521,9.08038736125685
613363,2025-09-21T11:48:37.009,10.0,11.25,10500,10500.0,11.180423366516756,11.206676891880672,11.25,11.25,10.976747184596693,9.40297314210521,9.324427857023768,9.354065546156836,9.40297314210521,9.40297314210521,9.09449716086463
613463,2025-09-21T11:48:37.110,10.0,11.25,10600,10600.0,11.194338693213405,11.217507668910503,11.25,11.25,10.988699008943849,9.40297314210521,9.340136914040055,9.366292445143927,9.40297314210521,9.40297314210521,9.107989613770055
613563,2025-09-21T11:48:37.209,10.0,11.25,10700,10700.0,11.205470954570725,11.225630751682878,11.25,11.25,11.000127925546897,9.40297314210521,9.352704159653086,9.375462619384248,9.40297314210521,9.40297314210521,9.120891754443111
613663,2025-09-21T11:48:37.310,10.0,11.25,10800,10800.0,11.21437676365658,11.231723063762159,11.25,11.25,11.011056830630547,9.40297314210521,9.362757956143511,9.382340250064491,9.40297314210521,9.40297314210521,9.133229430505434
613763,2025-09-21T11:48:37.410,10.0,11.25,10900,10900.0,11.221501410925264,11.236292297821619,11.25,11.25,11.02150761557565,9.40297314210521,9.370800993335852,9.387498473074668,9.40297314210521,9.40297314210521,9.145027355207205
613863,2025-09-21T11:48:37.509,10.0,11.25,11000,11000.0,11.22720112874021,11.239719223366214,11.25,11.25,11.031501211307392,9.40297314210521,9.377235423089722,9.391367140332303,9.40297314210521,9.40297314210521,9.156309157537112
613963,2025-09-21T11:48:37.610,10.0,11.25,11100,11100.0,11.23176090299217,11.24228941752466,11.25,11.25,11.041057630686513,9.40297314210521,9.382382966892823,9.394268640775529,9.40297314210521,9.40297314210521,9.167097430077945
614063,2025-09-21T11:48:37.710,10.0,11.25,11200,11200.0,11.235408722393736,11.244217063143495,11.25,11.25,11.050196008997924,9.40297314210521,9.3865010019353,9.396444766107951,9.40297314210521,9.40297314210521,9.17741377471432
614163,2025-09-21T11:48:37.810,10.0,10.89,11300,11300.0,11.16632697791499,11.155662797357621,10.89,10.89,11.04318967131521,8.996567985464086,9.308514398641059,9.296475570946985,8.996567985464086,8.996567985464086,9.169504297593697
